"ZIP Code","Week Number","Week Start","Week End","Cases - Weekly","Cases - Cumulative","Case Rate - Weekly","Case Rate - Cumulative","Deaths - Weekly","Deaths - Cumulative","Death Rate - Weekly","Death Rate - Cumulative","Population.x","Total Doses - Daily","Total Doses - Cumulative","Vaccine Series Completed - Daily","Vaccine Series Completed - Cumulative","Vaccine Series Completed  - Percent Population","Population.y"
"60626",4,"01/23/2022",2022-01-29,130,8728,261,17550.8,4,197,8,396.1,49730,88,87052,17,34778,0.688,50544
"60626",5,"01/30/2022",2022-02-05,84,8812,169,17719.7,0,197,0,396.1,49730,117,87927,35,35057,0.694,50544
"60626",6,"02/06/2022",2022-02-12,59,8871,119,17838.3,2,199,4,400.2,49730,70,88616,22,35306,0.699,50544
"60619",50,"12/12/2021",2021-12-18,517,7170,844,11704.6,1,168,1.6,274.2,61258,158,72053,37,30742,0.502,61207
"60619",52,"12/26/2021",2022-01-01,1041,9048,1699,14770.3,4,175,6.5,285.7,61258,6,74868,0,31271,0.511,61207
"60619",1,"01/02/2022",2022-01-08,771,9819,1259,16028.9,7,182,11.4,297.1,61258,131,76245,41,31625,0.517,61207
"60619",2,"01/09/2022",2022-01-15,380,10199,620,16649.3,10,192,16.3,313.4,61258,140,77762,34,32007,0.523,61207
"60619",4,"01/23/2022",2022-01-29,85,10472,139,17094.9,8,207,13.1,337.9,61258,117,80299,40,32789,0.536,61207
"60619",6,"02/06/2022",2022-02-12,33,10566,54,17248.4,4,213,6.5,347.7,61258,105,82277,50,33547,0.548,61207
"60620",2,"01/09/2022",2022-01-15,388,11452,570,16817.4,13,248,19.1,364.2,68096,143,81297,22,33793,0.499,67711
"60620",3,"01/16/2022",2022-01-22,200,11652,294,17111.1,9,257,13.2,377.4,68096,172,82801,34,34197,0.505,67711
"60620",6,"02/06/2022",2022-02-12,49,11862,72,17419.5,1,272,1.5,399.4,68096,140,86307,73,35495,0.524,67711
"60620",7,"02/13/2022",2022-02-19,18,11880,26,17446,2,274,2.9,402.4,68096,115,87220,47,35873,0.53,67711
"60621",50,"12/12/2021",2021-12-18,253,3589,871,12358,1,113,3.4,389.1,29042,56,27346,16,11975,0.427,28018
"60621",51,"12/19/2021",2021-12-25,378,3967,1302,13659.5,4,117,13.8,402.9,29042,1,27835,1,12087,0.431,28018
"60621",52,"12/26/2021",2022-01-01,509,4476,1753,15412.2,4,121,13.8,416.6,29042,0,28411,0,12222,0.436,28018
"60621",1,"01/02/2022",2022-01-08,365,4841,1257,16669,6,127,20.7,437.3,29042,37,29078,16,12385,0.442,28018
